"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 03, 2014","43,021","43,091","43,435","42,722","21.05K","-0.26"
"Apr 02, 2014","43,135","42,550","43,379","42,528","20.85K","1.28"
"Apr 01, 2014","42,588","42,743","43,000","42,551","14.76K","-0.51"
"Mar 31, 2014","42,805","42,701","43,330","42,701","18.48K","0.11"
"Mar 28, 2014","42,759","42,906","43,180","42,411","21.21K","-0.31"
"Mar 27, 2014","42,891","43,109","43,136","42,559","24.94K","-0.36"
"Mar 26, 2014","43,046","43,528","43,750","42,870","22.13K","-1.06"
"Mar 25, 2014","43,508","43,899","44,163","43,451","23.24K","-1.00"
"Mar 24, 2014","43,949","44,510","44,510","43,900","20.66K","-1.57"
"Mar 21, 2014","44,651","44,871","45,330","44,600","21.62K","-0.76"
"Mar 20, 2014","44,992","45,729","45,729","44,720","28.65K","-1.49"
"Mar 19, 2014","45,673","45,990","46,049","45,227","28.94K","-0.36"
"Mar 18, 2014","45,840","46,600","46,600","45,555","25.86K","-1.93"
"Mar 17, 2014","46,741","46,999","47,071","46,583","8.39K","-0.73"
"Mar 14, 2014","47,084","46,881","47,877","46,723","31.05K","0.75"
"Mar 13, 2014","46,734","46,829","47,071","46,411","24.49K","-0.08"
"Mar 12, 2014","46,771","46,050","46,970","45,921","27.52K","1.90"
"Mar 11, 2014","45,897","45,868","46,786","45,522","30.75K","-0.17"
"Mar 10, 2014","45,973","45,880","46,200","45,570","19.42K","-0.50"
"Mar 07, 2014","46,205","47,134","47,424","45,835","29.87K","-2.10"
"Mar 06, 2014","47,194","46,953","47,360","46,436","21.91K","1.31"
"Mar 05, 2014","46,583","46,511","46,999","46,136","0.18K","0.06"
"Mar 04, 2014","46,557","46,992","47,188","46,278","0.66K","-1.33"
"Mar 03, 2014","47,186","46,362","47,385","46,362","2.70K","1.78"
"Feb 28, 2014","46,362","46,388","46,740","46,255","18.17K","-0.31"
"Feb 27, 2014","46,505","46,804","46,924","46,289","11.43K","-0.29"
